	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
57	(1.8024201571076397+2.753679261450612j)	0.0028510093688964844	(1.9821172932122333+1.5234819314294714j)	0.08432197570800781	(1.9827718865102375+1.5233966317446916j)	0.2716948986053467
58	(2.8103828749517947-0.6486905253451749j)	0.0024738311767578125	(1.8924219872552372+1.5198961233467991j)	0.07644271850585938	(1.8923963537515665+1.519911018987232j)	0.26691579818725586
59	(1.5301829465274523+0.8137877650673881j)	0.0038290023803710938	(1.8027174986967118+1.510549363247358j)	0.07625985145568848	(1.8027880052970586+1.5112015015000226j)	0.26184916496276855
60	(1.7273011542288275-0.39903391597329085j)	0.00522303581237793	(1.7134022442787957+1.495476162007774j)	0.0773930549621582	(1.7132959906739602+1.495384254516096j)	0.2673196792602539
61	(1.592832713236818+1.3673508635479545j)	0.0038759708404541016	(1.624834778688104+1.4746894911655024j)	0.07577300071716309	(1.624206933444524+1.4747189339302538j)	0.2622718811035156
62	(-0.15740541571062017+6.48256461023812j)	0.001928091049194336	(1.5373680569903263+1.4482322252116142j)	0.08072876930236816	(1.5375418342039893+1.4480482064168156j)	0.31595396995544434
63	(-4.079658876068384-8.271611213686898j)	0.005215883255004883	(1.451411050099928+1.4161404931363972j)	0.08765196800231934	(1.4514151416779595+1.4155820502199554j)	0.2655141353607178
64	(1.36222332117501+1.3748468030037957j)	0.005064964294433594	(1.3673394028244321+1.3785696561052743j)	0.0777120590209961	(1.367552089569312+1.3788113745426478j)	0.261821985244751
65	(7.77134623935015+2.5941617879615566j)	0.0029418468475341797	(1.2854449112535105+1.3356123315618111j)	0.07594013214111328	(1.2859555287811917+1.335614901635613j)	0.2636890411376953
66	(1.2095020729038706+1.2944982026534722j)	0.002746105194091797	(1.2061336051917444+1.2873545224486187j)	0.07697486877441406	(1.2058395059428757+1.2876318109028688j)	0.26496386528015137
67	(1.9078028105399794-0.5235278160161829j)	0.0026750564575195312	(1.1297743719360465+1.234025145485174j)	0.07798600196838379	(1.1297306450374287+1.2344653080296735j)	0.2652778625488281
68	(1.3444258813217846+0.45924123613983714j)	0.0028142929077148438	(1.05664383945718+1.1758034205387882j)	0.07993698120117188	(1.0563431478497844+1.1754284514052198j)	0.2945139408111572
69	(1.1854222055715253+0.8855901479885466j)	0.0022640228271484375	(0.9870876485240736+1.1128679656088514j)	0.07854723930358887	(0.9867433354672277+1.1128219266020778j)	0.26995205879211426
70	(-4.765896965713916-4.1189664799739365j)	0.0026459693908691406	(0.9214184752426231+1.0454742677787305j)	0.07587003707885742	(0.9218441281026539+1.0451562635025853j)	0.36661291122436523
71	(-0.042878672203923496+0.4558001985221628j)	0.004709005355834961	(0.8599332825775735+0.9738510885730656j)	0.11401176452636719	(0.8599673184490921+0.9735935044408528j)	0.338176965713501
72	(0.8847673090616401+0.7686105797480305j)	0.0039501190185546875	(0.802864541239218+0.8982867495772942j)	0.08269786834716797	(0.8031846015368627+0.8987432604641599j)	0.26120996475219727
73	(4.430299546544411+3.4249046680084794j)	0.0021848678588867188	(0.750525443555367+0.8190242485147793j)	0.07799887657165527	(0.7506912175441616+0.8190741094592693j)	0.2645080089569092
