	res_adaptive	time_adaptive
145	(0.9310180760699905+1.6169207953463012j)	0.4457879066467285
146	(0.8919224825266913+1.561859218066964j)	0.45971035957336426
147	(0.8537565618769932+1.5053456281312096j)	0.31093406677246094
148	(0.8169080796671586+1.4486568144382594j)	0.34273719787597656
149	(0.7824562819782735+1.391130130622794j)	0.3711721897125244
150	(0.7494239507734402+1.3320185481256317j)	0.341292142868042
151	(0.7173591469062549+1.272553297676499j)	0.4510509967803955
152	(0.6875320238281735+1.212873485721462j)	0.42972755432128906
153	(0.6596592099897962+1.1517990454186944j)	0.3688383102416992
154	(0.6326623907695542+1.0900139886255849j)	0.29093503952026367
155	(0.6074730384140334+1.0283992727777025j)	0.294022798538208
156	(0.5842112686534761+0.9657971593570845j)	0.28694796562194824
157	(0.5628547847248269+0.9022726379217272j)	0.28813886642456055
158	(0.542409088427039+0.8388918985933996j)	0.2840392589569092
159	(0.5243813785257473+0.7751843449844054j)	0.28907132148742676
160	(0.5079118871023449+0.7103041024537659j)	0.30359387397766113
161	(0.49243042253453384+0.6453645962448445j)	0.2980079650878906
162	(0.4791502704544112+0.5806278033678807j)	0.3011589050292969
163	(0.4679437833864527+0.5149134748336291j)	0.3388638496398926
164	(0.45771012568785063+0.4487511876590891j)	0.3343207836151123
165	(0.4492632794389519+0.38309086858189945j)	0.3090529441833496
166	(0.4432464443617159+0.3169409318292143j)	0.4137420654296875
167	(0.43850159437686564+0.25005124855080685j)	0.4522528648376465
168	(0.4351062791694721+0.1836684145818836j)	0.29239487648010254
169	(0.4341898729119538+0.1174174385187381j)	0.4596748352050781
170	(0.43502267006612755+0.05040517736310677j)	0.47206711769104004
171	(0.4366092957835201-0.015865315516051j)	0.4545140266418457
172	(0.44103064764599104-0.08241640133547173j)	0.4503800868988037
173	(0.4473346151370331-0.14895925045854042j)	0.3179161548614502
174	(0.4547026656183524-0.21557268252918854j)	0.32269716262817383
175	(0.46379313520916565-0.28124353457142814j)	0.3097250461578369
176	(0.4753222196723429-0.34685499726882946j)	0.299893856048584
177	(0.4881840267504688-0.41278327146694194j)	0.2948288917541504
178	(0.5023002319088107-0.4778243420194549j)	0.2951178550720215
179	(0.518792690106191-0.5422232204151215j)	0.298537015914917
180	(0.537051950658533-0.6069372919602944j)	0.28896403312683105
181	(0.5563069381903041-0.6710629627148539j)	0.4574778079986572
182	(0.5776086088087519-0.734092962936689j)	0.29984307289123535
183	(0.6010895087075447-0.7971336828016401j)	0.3147158622741699
184	(0.625619138661351-0.8599342200334342j)	0.29800987243652344
185	(0.6524066705247941-0.9218344531548485j)	0.29169678688049316
186	(0.6802313410738285-0.9824195021380691j)	0.29521822929382324
187	(0.710099668148764-1.0433478725244574j)	0.2930009365081787
188	(0.7411332986354404-1.1030566660638317j)	0.29264187812805176
189	(0.7744469140378762-1.1616391208753123j)	0.29459714889526367
190	(0.8095575469181477-1.2200683691162384j)	0.29013895988464355
191	(0.8456100254190657-1.2775382443099335j)	0.29168272018432617
192	(0.8835513033554578-1.3334215452337053j)	0.2891068458557129
193	(0.9229391494692105-1.3888889037009777j)	0.287365198135376
194	(0.9646655685421789-1.4434174599643115j)	0.2833738327026367
195	(1.007071500267439-1.4963154495502344j)	0.2800610065460205
196	(1.051674215897974-1.5481002129420887j)	0.2802622318267822
197	(1.09752154985901-1.5993498772536183j)	0.2851278781890869
198	(1.1442623554596714-1.6489640304344324j)	0.29317522048950195
199	(1.192968839639085-1.6969160100074094j)	0.2935140132904053
