	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
18	(2.773931214363257-0.6508804535389742j)	0.003690004348754883	(2.774400422190048-0.6506660479313453j)	0.082550048828125	(2.7744192558144145-0.6504979756735366j)	0.3056628704071045
19	(2.8383666393580467-0.612246669229006j)	0.0027921199798583984	(2.838846989793588-0.612020661680475j)	0.08129096031188965	(2.8378301062096565-0.612611427047631j)	0.30323195457458496
20	(2.8994908819771-0.568997055373057j)	0.005405902862548828	(2.900000617389481-0.5687772422751175j)	0.08740615844726562	(2.900058344297264-0.5687703599843434j)	0.29947328567504883
21	(2.957235681399956-0.5213874509633776j)	0.0029230117797851562	(2.957795709807766-0.521161523037105j)	0.0842428207397461	(2.9583933509289877-0.5220947709375349j)	0.2914009094238281
22	(2.326442059076938+0.22770811856052292j)	0.0026407241821289062	(3.011836366509171-0.46952252189753146j)	0.09468507766723633	(3.0118646367951896-0.4692948636701903j)	0.2858603000640869
23	(2.9818747575935727-0.35834716287164115j)	0.0034487247467041016	(3.061979363207516-0.41395426975702027j)	0.08757305145263672	(3.062805126511298-0.41335602569844193j)	0.2886619567871094
24	(3.1392576199296838-0.37931666022365085j)	0.0038940906524658203	(3.108047179986619-0.3548542109173356j)	0.08147788047790527	(3.1076797277034505-0.3548111982770614j)	0.29450106620788574
25	(3.14989561466772-0.29661586740488244j)	0.002910137176513672	(3.1497995007021578-0.2924331818837998j)	0.0848398208618164	(3.1492109226561675-0.2917249246815985j)	0.29161596298217773
26	(3.187903312362488-0.2289503994817889j)	0.003204822540283203	(3.1870603194823066-0.22698486244522692j)	0.08525991439819336	(3.187032565400254-0.22749388273516574j)	0.2959301471710205
27	(3.195923736970823-0.14281037798591995j)	0.004290103912353516	(3.2197127317951315-0.1588442618705163j)	0.08305692672729492	(3.21909838191047-0.15937213281598483j)	0.290128231048584
28	(3.2937142560957433-0.1821814567984265j)	0.004333019256591797	(3.2475427053069743-0.0882632962478786j)	0.08160996437072754	(3.248130505424934-0.08827313002374282j)	0.28757286071777344
29	(15.807652369957548-11.98527481306154j)	0.0021920204162597656	(3.2703758925324884-0.01558225039057054j)	0.0917959213256836	(3.2708780101529804-0.01605991002217505j)	0.28880786895751953
30	(3.189623358079268+0.17040906593966731j)	0.0023200511932373047	(3.288238854902187+0.058845577699881024j)	0.08371710777282715	(3.288216949440362+0.0595712674995178j)	0.2934908866882324
31	(4.497548629233663-0.11515478574532012j)	0.0019769668579101562	(3.300885593036672+0.13477433623672186j)	0.08568000793457031	(3.3012624734831753+0.13515500700057553j)	0.2898550033569336
32	(3.038112661606783+0.5686685514477543j)	0.0027151107788085938	(3.3083190829276963+0.21174096146899285j)	0.08693599700927734	(3.307559105735682+0.21170167197452433j)	0.2935349941253662
33	(3.373235490194473+0.19568210738219133j)	0.0030930042266845703	(3.3104494560453173+0.2894972592667616j)	0.0824739933013916	(3.3101476002255046+0.2897548042838065j)	0.28971099853515625
34	(3.7109492841388034-0.5509875306345932j)	0.0035109519958496094	(3.3072315142974142+0.36765350533758256j)	0.0857079029083252	(3.3080443617991575+0.36696516823933667j)	0.3094480037689209
35	(3.2969956608057616+0.4325552481375249j)	0.0024137496948242188	(3.2986605482140354+0.44587757414758694j)	0.0871891975402832	(3.298495784191294+0.4456737974702798j)	0.28765225410461426
36	(3.2890159933964758+0.5209301091810115j)	0.002579212188720703	(3.284686610560541+0.5237799452561404j)	0.08504414558410645	(3.285520302681395+0.5239211520558759j)	0.29530906677246094
37	(3.2464959150652937+0.580353193771421j)	0.00421595573425293	(3.265434989595064+0.6010467563653915j)	0.0823507308959961	(3.2655052780717657+0.600998405583219j)	0.2868521213531494
38	(3.0794377447335077+0.8336760603304972j)	0.0029761791229248047	(3.240844014728613+0.6773482750312987j)	0.08278298377990723	(3.2406706133789287+0.6781332401582665j)	0.29046177864074707
39	(3.351730393471072-0.5071676557897382j)	0.0038039684295654297	(3.2110090848252586+0.7522400641852174j)	0.08856415748596191	(3.211014494505597+0.7522141998099381j)	0.3043019771575928
40	(3.1500769663221133+0.8690528864938283j)	0.003960132598876953	(3.176071358016155+0.8254515216725775j)	0.0835268497467041	(3.175313614398768+0.8252584445209143j)	0.3084850311279297
41	(3.2193732303319633+0.19138839591987533j)	0.00528407096862793	(3.1361275626016862+0.8966382569502133j)	0.07769417762756348	(3.135175707208473+0.895434703744275j)	0.2848520278930664
42	(6.692787233404094+4.023982971895432j)	0.0028557777404785156	(3.091258412640737+0.9654403027563347j)	0.09105706214904785	(3.09112484413433+0.9653390495410339j)	0.2953970432281494
43	(3.9898666487276198+2.472157409022779j)	0.004348278045654297	(3.0416585426832765+1.0315507497992644j)	0.08245301246643066	(3.041790376595784+1.0317990804569126j)	0.28959202766418457
44	(3.053234646553087+1.3026919258856209j)	0.0023119449615478516	(2.9874950309300647+1.0946480905408877j)	0.09273386001586914	(2.9877450728201387+1.0953574995991673j)	0.2884690761566162
45	(2.7881108106933112+0.8154946899629155j)	0.0024871826171875	(2.9290051065235656+1.1544335831772534j)	0.08987975120544434	(2.9286338376490972+1.1545878462948718j)	0.28568410873413086
46	(2.8463742854363168+1.213704595125209j)	0.0029871463775634766	(2.8663021250623144+1.2105940881958355j)	0.08357882499694824	(2.866089124674081+1.2111706013472614j)	0.29745006561279297
47	(2.7815470761642955+1.1509789955214562j)	0.0024521350860595703	(2.7997554204192516+1.2628835883505354j)	0.08421802520751953	(2.7995635518961057+1.262450820281183j)	0.29182887077331543
48	(3.0069643507866255+1.6905408183795891j)	0.0033872127532958984	(2.7295072450398092+1.31105997012329j)	0.08360695838928223	(2.729029239037806+1.310824954274224j)	0.29280805587768555
49	(2.5935286666140533+1.4259179062040919j)	0.006136894226074219	(2.65585798518482+1.3547978569556074j)	0.08176994323730469	(2.6563974305626608+1.3546169845985307j)	0.2892420291900635
50	(3.5421926094558374+1.68688985375583j)	0.0028638839721679688	(2.579143657848682+1.3939221471573844j)	0.0844118595123291	(2.579334398560445+1.3935600349988853j)	0.2879471778869629
51	(2.5029011762886455+1.4271520711478511j)	0.0022039413452148438	(2.4996129438797854+1.4282337170431263j)	0.08670735359191895	(2.499783421086402+1.4288220216613514j)	0.2903130054473877
52	(2.4210957305167966+1.4568270467185491j)	0.006091117858886719	(2.4176027513905916+1.4575131006557736j)	0.07938289642333984	(2.417864240336122+1.457672010417753j)	0.2973642349243164
53	(2.5520937829012325+1.0230204293060714j)	0.004685163497924805	(2.333422560765269+1.4816017195355355j)	0.08935809135437012	(2.33279381285279+1.4817662340737394j)	0.31578803062438965
54	(2.251245136787207+1.5005613236602788j)	0.005797863006591797	(2.2474568466618856+1.500370734227362j)	0.09728693962097168	(2.2473347418159935+1.500536089521785j)	0.3189380168914795
